country,city,Average Net Salary,Restaurant Index,Market Index,Transportation Index,Utilities Index,Leisure Index,Childcare Index,Clothing Index,single_Rent Index,family_Rent Index,Cost of Living Index single,Cost of Living Index family,Cost of Living Index,Cost_of_living_single,Cost_of_living_family,Purchasing Power Index
South Korea,Seoul,2689.62,50.34436108719716,91.72237921290234,34.10916824196597,81.7510380070265,51.84016824395374,16.535265550268598,79.28480275203907,20.973411781028325,38.50980817736111,61.30587304667188,63.059512686305155,62.182692866488516,3065.293652333594,3783.570761178309,72.76456708783404
China,Shanghai,1419.87,37.812077235272405,52.905093390309446,24.426984877126657,33.17630150111785,53.80095255767922,56.56807832515741,87.97924873772402,26.809397590750184,39.50830461274021,44.535894066594146,45.80578476879315,45.17083941769365,2226.7947033297073,2748.347086127589,52.87969869356682
China,Guangzhou,1211.68,27.33366129627352,40.27155558618788,22.66068052930057,30.47349089747684,38.157976124203635,22.71445930520381,57.67075403650891,13.724528563661853,16.893572480041446,32.321213836492056,32.63811822813002,32.47966603231104,1616.0606918246028,1958.2870936878012,62.75884384737272
India,Mumbai,640.81,21.94687000368958,31.104831483906537,4.938563327032135,21.123442989460234,25.397414486299258,4.380628188710277,42.04627420518227,13.171501352722625,18.474415771500187,21.988219008544895,22.51851045042265,22.25336472948377,1099.4109504272449,1351.110627025359,48.443124237143834
India,Delhi,586.46,24.16061984995696,28.36859880074436,9.132797731569,26.361386138613863,21.4696604193728,3.0276126456015744,42.18221161848749,5.8908368166411496,8.140690939579107,22.072538754968647,22.297524167262445,22.185031461115546,1103.6269377484325,1337.8514500357467,44.471000168347814
Bangladesh,Dhaka,280.73,19.622432665108843,31.82162795506237,14.378544423440461,23.542797828169906,22.446959856497806,2.699075759869403,38.511901459246516,3.708573373707976,4.866630842503794,22.066322490387282,22.182128237266866,22.124225363827072,1103.3161245193642,1330.927694236012,21.34613746576032
Japan,Osaka,2322.46,45.16664616898291,62.657660762285474,76.38823251417769,64.32848930054296,69.56763778066433,19.753126828330274,75.40919935637798,16.957027462608547,23.8958252014234,57.24958130047528,57.94346107435676,57.596521187416016,2862.479065023764,3476.607664461406,67.8344861831976
Indonesia,Jakarta,509.12,22.912310908867294,46.44014060238471,9.469517958412098,46.14340466304693,28.397352631904504,5.672273205218949,60.17311213449482,12.632186893513223,15.64109789973552,32.3728313748021,32.67372247542433,32.52327692511321,1618.6415687401047,1960.4233485254597,26.334459602460747
China,Shenzhen,1572.22,29.430574345099007,49.50031015231923,27.15619092627599,34.28617055253912,45.25267520257315,27.041081430506058,80.08378183432282,18.936826159413155,22.47872867397503,39.522766542694484,39.87695679415067,39.69986166842258,1976.138327134724,2392.61740764904,66.62279875053711
Thailand,Bangkok,629.84,28.797195916861394,55.406988765593766,27.935964083175808,37.94714148834238,46.59491556875117,20.9576256970669,76.30527659102258,14.205281506660361,26.303979107628273,40.48247528771458,41.69234504781137,41.087410167762975,2024.1237643857291,2501.5407028686823,25.788140088804685
